ods_type_activite|categorie|commune|siret|Nom|numero_inspection|geores|filtre|date_inspection|code_postal|evaluation|adresse|agrement|lat|lon
Autres|Restauration collective|Paris 19e  Arrondissement|77565773700141|MILLENAIRE III MINISTERE JUSTICE|22-067502-1|[48.901873, 2.37304]|Restauration collective|2022-08-31T02:00:00+02:00|75019|Satisfaisant|35 RUE DE LA GARE||48.901873|2.37304
Autres|Restauration collective|Paris|77567111800054|ECOLE PRIM PRIVEE MARIE FENELON AUGUSTIN|22-103787-1|[48.876699, 2.320369]|Restauration collective|2022-12-06T01:00:00+01:00|75008|Satisfaisant|7 RUE DE LA BIENFAISANCE||48.876699|2.320369
Autres|Restaurant|Vichy|79026105100011|LE CLUB|22-036586-1|[46.109631, 3.448613]|Restaurant|2022-05-17T02:00:00+02:00|03200|Satisfaisant|LE CLUB||46.109631|3.448613
Autres|Restaurant|Paris 5e  Arrondissement|44169632500022|BISTRO ITALIEN|22-095473-1|[48.844525, 2.349665]|Restaurant|2022-11-30T01:00:00+01:00|75005|Satisfaisant|1 PLACE DE LA CONTRESCARPE||48.844525|2.349665
Autres|Restauration collective|Abondant|77507901500027|ASS DU PARC DU CHATEAU D ABONDANT|22-025205-1|[48.786142, 1.436178]|Restauration collective|2022-04-07T02:00:00+02:00|28410|Satisfaisant|7 rue des Minières|28001007|48.786142|1.436178
Autres|Restauration collective|Chavanod|77655583100010|ECOLE STE CROIX|22-027573-1|[45.881519, 6.051682]|Restauration collective|2022-04-14T02:00:00+02:00|74650|Très satisfaisant|12 COTE DE L'EGLISE||45.881519|6.051682
Autres|Restauration collective|Noyon|20003465000081|CENTRE HOSPITALIER DE NOYON|22-106192-1|[49.577659, 2.990171]|Restauration collective|2023-01-16T01:00:00+01:00|60400|Satisfaisant|CENTRE HOSPITALIER DE NOYON|60471706|49.577659|2.990171
Autres|Restauration collective|Avignon|26840045400131|CENTRE COMMUNAL D ACTION SOCIALE|22-077302-1|[43.947256, 4.80876]|Restauration collective|2022-09-27T02:00:00+02:00|84000|Satisfaisant|5 rue Collège de la Croix||43.947256|4.80876
Autres|Restaurant|Abbeville|47955401600010|L'USINE|22-097903-1|[50.101213, 1.867938]|Restaurant|2022-11-28T01:00:00+01:00|80100|Satisfaisant|Parc des 3 vallées||50.101213|1.867938
Autres|Restaurant|Ceyssat|87923539800010|L'EVEIL DES PUYS|22-016545-1|[45.762059, 2.892573]|Restaurant|2022-04-13T02:00:00+02:00|63210|Très satisfaisant|2, Rue de la Ribeyre||45.762059|2.892573
Autres|Restaurant|Fermanville|82164979500019|L'ESCALE|22-053302-1|[49.68501, -1.45578]|Restaurant|2022-07-01T02:00:00+02:00|50840|Satisfaisant|90 LE TOT DE HAUT||49.68501|-1.45578
Autres|Restaurant|Saint-Jean-de-Maurienne|53286204200019|LE SUN|22-085129-1|[45.271933, 6.350749]|Restaurant|2022-10-17T02:00:00+02:00|73300|Satisfaisant|388 AV DU MONT CENIS||45.271933|6.350749
Autres|Restaurant|Auxelles-Haut|91008029000018|LE COIN DE LA STOLLE|22-072701-1|[47.742992, 6.769915]|Restaurant|2022-09-16T02:00:00+02:00|90200|Satisfaisant|1 RUE DE LA STOLLE||47.742992|6.769915
Autres|Restaurant|Reillanne|82521126100011|LE VALLON DES OISEAUX|22-064306-1|[43.877512, 5.659955]|Restaurant|2022-08-18T02:00:00+02:00|04110|Satisfaisant|LE VALLON DES OISEAUX||43.877512|5.659955
Autres|Restauration collective|Paris 12e  Arrondissement|78452118900018|ASSOCIATION EN FAMILLE|22-017277-1|[48.842993, 2.391929]|Restauration collective|2022-03-09T01:00:00+01:00|75012|Satisfaisant|103 RUE DE REUILLY||48.842993|2.391929
Autres|Restauration collective|Villeneuve-de-Berg|77628318600018|MAIS FAMILIALE APPRENT MENAGER|22-039607-1|[44.554152, 4.511263]|Restauration collective|2022-11-08T01:00:00+01:00|07170|Très satisfaisant|BP36||44.554152|4.511263
Autres|Restaurant|Suilly-la-Tour|88354593100015|BAR DES CARRIERES|22-016990-1|[47.333161, 3.091305]|Restaurant|2022-03-08T01:00:00+01:00|58150|Satisfaisant|2 RTE DE SUILLY LA TOUR||47.333161|3.091305
Autres|Restaurant|Brive-la-Gaillarde|90841077200010|CAFE DE LA BARRIERE|22-067684-1|[45.157812, 1.549159]|Restaurant|2022-08-30T02:00:00+02:00|19100|Satisfaisant|158 AV GEORGES POMPIDOU||45.157812|1.549159
Autres|Restaurant|Paris 15e  Arrondissement|79213779600019|AL PUNJAB|22-082836-1|[48.841409, 2.302825]|Restaurant|2022-10-18T02:00:00+02:00|75015|Satisfaisant|5, RUE DU GENERAL BEURET||48.841409|2.302825
Autres|Restauration collective|Saint-Cloud|21920064900016|MAIRIE COMMUNE DE SAINT CLOUD|22-100691-1|[48.846773, 2.218774]|Restauration collective|2022-12-13T01:00:00+01:00|92210|Satisfaisant|2 RUE DU CALVAIRE||48.846773|2.218774
Autres|Restauration collective|Vittel|20003308200021|SECTEUR D'HOSPITALISATION|22-029823-1|[48.206097, 5.948382]|Restauration collective|2022-04-22T02:00:00+02:00|88800|Satisfaisant|191 Avenue Maurice Barrès|88516001|48.206097|5.948382
Autres|Restaurant|La Maxe|35174572400143|MEUBLES IKEA FRANCE|22-030195-1|[49.14654, 6.189685]|Restaurant|2022-04-14T02:00:00+02:00|57140|Très satisfaisant|rue du trou aux serpents||49.14654|6.189685
